img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update,index
/games/boxart/full_9156218AmericaFrontccc.jpg,Ikaruga,GC,Shooter,Atari,"Treasure Co., Ltd.",8.0,0.09,0.07,,0.02,0.0,2003-04-15,,10500
/games/boxart/full_556780AmericaFrontccc.jpg,F.E.A.R. 2: Project Origin,PC,Shooter,Warner Bros. Interactive,Monolith Productions,8.2,0.09,0.04,,0.05,0.01,2009-02-10,,10501
/games/boxart/5659200ccc.jpg,I-Ninja,GC,Platform,Namco,Argonaut Games,7.2,0.09,0.07,,0.02,0.0,2003-12-04,,10508
/games/boxart/6112851ccc.gif,Ultimate Mortal Kombat,DS,Fighting,Midway Games,Other Ocean Interactive,7.3,0.09,0.07,,0.01,0.01,2007-11-12,,10514
/games/boxart/5650309ccc.jpg,Rocky,GC,Fighting,Ubisoft,Steel Monkeys,7.0,0.09,0.07,,0.02,0.0,2002-11-17,,10520
/games/boxart/full_2176249AmericaFrontccc.jpg,Brain Age: Concentration Training,3DS,Education,Nintendo,Nintendo,7.5,0.09,0.08,,,0.01,2013-02-10,2019-01-15,10542
/games/boxart/9570598ccc.jpg,Psychonauts,PS2,Platform,Majesco,Double Fine Productions,8.6,0.09,0.05,,0.04,0.01,2005-06-21,,10549
/games/boxart/full_1533995AmericaFrontccc.jpg,Battle Fantasia,X360,Fighting,Aksys Games,Arc System Works,7.0,0.09,0.07,0.01,0.0,0.01,2008-09-16,,10552
/games/boxart/2322685ccc.jpg,Astro Boy: Omega Factor,GBA,Action,Sega,Hitmaker,8.8,0.09,0.06,,0.02,0.0,2004-08-18,,10562
/games/boxart/9443821ccc.jpg,Batman Beyond: Return of the Joker,N64,Action,Ubisoft,Kemco,2.0,0.09,0.07,,0.02,0.0,2000-12-13,,10564
/games/boxart/full_jimmie-johnsons-anything-with-an-engine_997AmericaFront.jpg,Jimmie Johnson's Anything With an Engine,X360,Racing,Konami,Isopod Labs,7.3,0.09,0.08,,,0.01,2011-11-01,,10572
/games/boxart/full_2020556AmericaFrontccc.jpg,ChuChu Rocket!,GBA,Puzzle,Sega,Sonic Team,8.1,0.09,0.06,,0.02,0.0,2001-06-10,,10573
/games/boxart/5216762ccc.jpg,Import Tuner Challenge (American sales),X360,Racing,Ubisoft,Genki,6.4,0.09,0.07,,0.01,0.01,2006-09-26,,10578
/games/boxart/full_driver-renegade-3d_634AmericaFront.jpg,Driver: Renegade,3DS,Racing,Ubisoft,Ubisoft,3.5,0.09,0.05,,0.04,0.01,2011-09-06,,10581
/games/boxart/full_3895380AmericaFrontccc.jpg,GripShift,PSP,Racing,Sony Computer Entertainment,Sidhe Interactive,7.1,0.09,0.08,,0.0,0.01,2005-09-12,,10587
/games/boxart/full_5669005PALFrontccc.jpg,echochrome,PSP,Puzzle,Sony Computer Entertainment,SCE Japan Studio,7.6,0.09,,0.08,0.01,0.0,2008-05-01,2018-09-17,10590
/games/boxart/1974199ccc.jpg,Bomberman Max 2: Blue Advance,GBA,Puzzle,Majesco,Hudson Soft,7.3,0.09,0.07,,0.02,0.0,2002-05-30,,10591
/games/boxart/full_mahjong-cub3d_249AmericaFront.jpg,Mahjong Cub3D,3DS,Puzzle,Atlus,SunSoft,6.9,0.09,0.07,0.02,,0.01,2011-10-11,,10615
/games/boxart/5367229ccc.jpg,Puchi Puchi Virus,DS,Puzzle,NIS America,Keys Factory,7.4,0.09,0.08,,,0.01,2009-05-20,,10623
/games/boxart/725006ccc.jpg,Ninja Gaiden Black,XB,Action,Tecmo,Team Ninja,9.5,0.09,0.07,,0.02,0.0,2005-09-20,,10630
/games/boxart/3498964ccc.jpg,Bladestorm: The Hundred Years' War,X360,Action,KOEI,Omega Force,6.9,0.09,0.08,,0.01,0.01,2007-11-06,,10640
/games/boxart/7445218ccc.jpg,Altered Beast: Guardian of the Realms,GBA,Action,THQ,3d6 Games,6.5,0.09,0.07,,0.02,0.0,2002-11-23,,10641
/games/boxart/full_green-lantern-rise-of-the-manhunters_385AmericaFront.jpg,Green Lantern: Rise of the Manhunters,Wii,Action,Warner Bros. Interactive,Griptonite Games,5.5,0.09,0.05,,0.03,0.01,2011-06-07,,10650
/games/boxart/full_1108388AmericaFrontccc.jpg,Harvest Moon: Boy & Girl,PSP,Simulation,Natsume,Marvelous Interactive,6.1,0.09,0.08,,,0.01,2007-07-31,,10659
/games/boxart/2919825ccc.jpg,Major League Baseball 2K7,PSP,Sports,2K Sports,Visual Concepts,6.3,0.09,0.08,,,0.01,2007-02-26,,10681
/games/boxart/full_pro-evolution-soccer-2012_851PALFront.jpg,Pro Evolution Soccer 2012,PC,Sports,Konami,Konami,7.0,0.09,,,0.07,0.02,2011-10-14,,10701
/games/boxart/full_8929420AmericaFrontccc.jpg,Major League Baseball 2K9,PSP,Sports,2K Sports,Visual Concepts,6.0,0.09,0.08,0.0,,0.01,2009-03-23,,10706
/games/boxart/full_5263151AmericaFrontccc.jpg,NBA 2K18,PS3,Sports,2K Sports,Visual Concepts,7.0,0.09,0.06,0.01,0.01,0.01,2017-09-19,2018-04-02,10713
/games/boxart/8083742ccc.jpg,The Incredibles: Rise of the Underminer,XB,Action,THQ,Heavy Iron Studios,6.5,0.09,0.06,,0.02,0.0,2005-11-01,,10716
/games/boxart/full_captain-america-super-soldier_970AmericaFront.jpg,Captain America: Super Soldier,3DS,Action,Sega,Sega,5.0,0.09,0.05,,0.03,0.01,2011-10-25,,10717
/games/boxart/full_destroy-all-humans-path-of-the-furon_523PALFront.jpg,Destroy All Humans! Path of the Furon,PS3,Action,Unknown,Sandblast Games,5.0,0.09,,,0.08,0.01,2020-12-31,,10718
/games/boxart/full_hearts-of-iron-iii_859AmericaFront.jpg,Hearts of Iron III,PC,Strategy,Paradox Interactive,Paradox Interactive,7.9,0.09,0.04,,0.04,0.01,2009-08-11,,10723
/games/boxart/135487ccc.jpg,Def Jam Fight For NY: The Takeover,PSP,Action,Electronic Arts,Aki Corp,8.0,0.09,0.08,,0.0,0.01,2006-08-29,,10725
/games/boxart/full_2160404AmericaFrontccc.jpg,Killer7,PS2,Action,Capcom,Grasshopper Manufacture,6.5,0.09,0.04,0.0,0.03,0.01,2005-07-07,,10728
/games/boxart/7678613ccc.jpg,50 Cent: Bulletproof,PSP,Action,Vivendi Games,High Voltage Software,5.5,0.09,0.08,,0.0,0.01,2006-08-29,,10729
/games/boxart/5486388ccc.jpg,Shin Megami Tensei: Devil Summoner - Raidou Kuzunoha vs the Soulless Army,PS2,Role-Playing,Atlus,Atlus Co.,7.4,0.09,,0.09,,,2006-10-10,,10734
/games/boxart/full_6126220AmericaFrontccc.jpg,Damnation,PS3,Shooter,Codemasters,Blue Omega Entertainment,3.6,0.09,0.07,,0.01,0.01,2009-05-26,,10747
/games/boxart/full_4564320AmericaFrontccc.jpg,ShellShock 2: Blood Trails,X360,Shooter,Eidos Interactive,Rebellion Developments,3.2,0.09,0.05,,0.03,0.01,2009-02-24,,10756
/games/boxart/full_fear-files_925AmericaFront.jpg,F.E.A.R. Files,X360,Shooter,Sierra Entertainment,TimeGate Studios/Day 1 Studios,6.9,0.09,0.07,,0.01,0.01,2007-11-06,,10758
/games/boxart/full_1312914AmericaFrontccc.jpg,Codename Tenka,PS,Shooter,Sony Computer Entertainment,Psygnosis,7.0,0.09,0.05,,0.03,0.01,1997-05-31,,10759
/games/boxart/full_6636296PALFrontccc.jpg,The Amazing Spider-Man (2012),WiiU,Action-Adventure,Activision,Beenox,6.0,0.09,0.05,,0.04,0.01,2013-03-05,2018-03-15,10766
/games/boxart/full_dungeons_5AmericaFront.jpg,Dungeons,PC,Strategy,Kalypso,Kalypso Media,6.5,0.09,0.07,,0.02,0.01,2011-02-10,,10771
/games/boxart/8764997ccc.jpg,Supreme Commander,X360,Strategy,Aspyr,Gas Powered Games,5.7,0.09,0.07,,0.01,0.01,2008-06-23,,10772
/games/boxart/4619334ccc.jpg,Theme Hospital,PS,Strategy,Electronic Arts,Krisalis Software,7.2,0.09,0.03,0.03,0.02,0.01,1998-03-31,,10775
/games/boxart/6642201ccc.jpg,MetropolisMania,PS2,Strategy,Natsume,Indi Software,6.8,0.09,0.04,,0.03,0.01,2002-10-03,,10776
/games/boxart/8659220ccc.jpg,Wild ARMs: Alter Code F,PS2,Role-Playing,Agetec,Media.Vision,7.2,0.09,0.05,,0.04,0.01,2005-11-15,,10785
/games/boxart/full_9582923AmericaFrontccc.jpg,Skies of Arcadia,DC,Role-Playing,Sega,Overworks,9.2,0.09,,0.09,,,2000-11-13,,10789
/games/boxart/full_2224060AmericaFrontccc.jpg,Last Rebellion,PS3,Role-Playing,NIS America,Hit Maker,4.8,0.09,0.06,0.01,0.01,0.01,2010-02-23,,10793
/games/boxart/full_8689016AmericaFrontccc.jpg,Dark Angel: Vampire Apocalypse,PS2,Role-Playing,Metro 3D,Metro3D,4.6,0.09,0.04,,0.03,0.01,2001-07-08,,10804
/games/boxart/full_knights-in-the-nightmare_2AmericaFront.jpg,Knights in the Nightmare,PSP,Role-Playing,Atlus,Sting,8.0,0.09,0.06,0.02,,0.01,2010-11-09,,10807
/games/boxart/full_ys-i-ampamp-ii-chronicles_548AmericaFront.jpg,Ys I & II Chronicles,PSP,Role-Playing,Xseed Games,Nihon Falcom Corporation,6.4,0.09,0.05,0.03,,0.01,2011-02-22,,10809
/games/boxart/3239490ccc.jpg,Spectral Force 3,X360,Role-Playing,Atlus,XPEC Entertainment,5.9,0.09,0.08,,,0.01,2008-07-29,,10811
/games/boxart/6241010ccc.jpg,Digimon World 4,GC,Role-Playing,Bandai,Bandai,5.2,0.09,0.07,,0.02,0.0,2005-06-01,,10813
/games/boxart/full_arcania-gothic-4_4AmericaFront.jpg,Arcania: Gothic 4,X360,Role-Playing,JoWood Productions,Spellbound Entertainment AG,6.2,0.09,0.04,0.01,0.04,0.01,2010-10-19,,10819
/games/boxart/full_zoids-assault_10AmericaFront.jpg,Zoids Assault,X360,Strategy,Atlus,Atlus Co.,5.2,0.09,0.08,,,0.01,2008-09-09,,10826
/games/boxart/full_2799730AmericaFrontccc.jpg,Henry Hatsworth in the Puzzling Adventure,DS,Puzzle,Electronic Arts,EA Tiburon,9.1,0.09,0.08,,0.0,0.01,2009-03-17,,10828
/games/boxart/full_7903283AmericaFrontccc.jpg,The Legend of Heroes: A Tear of Vermillion,PSP,Role-Playing,Bandai,Microvision,6.9,0.09,0.08,,,0.01,2005-11-15,,10833
/games/boxart/full_804269AmericaFrontccc.png,Harvest Moon: Skytree Village,3DS,Simulation,Natsume,Natsume,5.0,0.09,0.06,,0.02,0.01,2016-11-08,,10846
/games/boxart/full_bittrip-complete_143AmericaFront.jpg,BIT.TRIP COMPLETE,Wii,Misc,Aksys Games,Gaijin Games Inc.,8.1,0.09,0.06,,0.02,0.01,2011-09-13,,10852
/games/boxart/full_supremacy-mma_567AmericaFront.jpg,Supremacy MMA,X360,Fighting,505 Games,Kung Fu Factory,5.0,0.08,0.05,,0.02,0.01,2011-09-20,,10873
/games/boxart/7551242ccc.jpg,The King of Fighters EX2: Howling Blood,GBA,Fighting,Atlus,Marvelous Interactive,7.9,0.08,0.06,,0.02,0.0,2003-12-11,,10893
/games/boxart/2165125ccc.jpg,Gundam Seed: Battle Assault,GBA,Fighting,Bandai,Bandai,6.5,0.08,0.06,,0.02,0.0,2004-08-10,,10895
/games/boxart/full_9190881AmericaFrontccc.jpg,Armorines: Project S.W.A.R.M.,PS,Shooter,Acclaim Entertainment,Probe Entertainment,3.2,0.08,0.05,,0.03,0.01,2000-05-03,,10900
/games/boxart/full_nano-assault_669AmericaFront.jpg,Nano Assault,3DS,Shooter,Majesco,Shin'en Multimedia,6.0,0.08,0.08,,,0.01,2011-12-01,,10906
/games/boxart/full_307063AmericaFrontccc.jpg,ARK: Survival Evolved,NS,Action-Adventure,Studio Wildcard,Studio Wildcard,4.0,0.08,0.07,,,0.01,2018-11-30,2018-09-22,10912
/games/boxart/full_526272AmericaFrontccc.jpg,Darksiders II: Deathinitive Edition,XOne,Action-Adventure,Nordic Games,Gunfire Games,7.5,0.08,0.05,,0.03,0.01,2015-10-30,2018-10-02,10914
/games/boxart/6089260ccc.jpg,Carol Vorderman's Sudoku,PSP,Puzzle,Eidos Interactive,Empire Interactive,7.4,0.08,0.06,,0.0,0.01,2007-03-06,,10916
/games/boxart/full_warhammer-40000-dawn-of-war-ii-retribution_467AmericaFront.jpg,"Warhammer 40,000: Dawn of War II - Retribution",PC,Strategy,THQ,Relic Entertainment,7.9,0.08,,,0.06,0.02,2011-03-01,,10917
/games/boxart/full_4823706AmericaFrontccc.jpg,Evolution Worlds,GC,Role-Playing,Ubisoft,Sting,6.5,0.08,0.06,,0.02,0.0,2002-12-02,,10920
/games/boxart/full_4477582AmericaFrontccc.jpg,A-Train,PS,Strategy,Maxis,ArtDink,6.0,0.08,0.02,0.04,0.01,0.01,1996-01-01,,10921
/games/boxart/1967822ccc.jpg,7 Wonders of the Ancient World,PSP,Puzzle,Mumbo Jumbo,Hot Lava Games,5.4,0.08,0.07,,,0.01,2007-04-23,,10924
/games/boxart/9603289ccc.jpg,Soul Bubbles,DS,Puzzle,Eidos Interactive,Mekensleep,7.0,0.08,0.05,,0.02,0.01,2008-06-10,,10926
/games/boxart/2380483ccc.jpg,Bomberman Jetters,GC,Puzzle,Majesco,Hudson Soft,7.2,0.08,0.06,,0.02,0.0,2004-03-10,,10928
/games/boxart/full_563717AmericaFrontccc.jpg,TimeSplitters: Future Perfect,GC,Shooter,Electronic Arts,Free Radical Design,8.4,0.08,0.06,,0.02,0.0,2005-03-21,,10933
/games/boxart/3506537ccc.jpg,America's Army: True Soldiers,X360,Shooter,Ubisoft,Red Storm Entertainment,4.5,0.08,0.08,,,0.01,2007-11-15,,10934
/games/boxart/full_1916730AmericaFrontccc.jpg,Earth Defense Force 2017,X360,Shooter,D3 Publisher,Sandlot,7.4,0.08,0.04,0.03,0.01,0.0,2007-03-20,,10940
/games/boxart/full_goldeneye-007_0AmericaFront.jpg,GoldenEye 007,DS,Shooter,Activision,n-Space,5.5,0.08,0.08,,0.0,,2010-11-02,,10946
/games/boxart/full_5507511AmericaFrontccc.jpg,Infernal: Hell's Vengeance,X360,Shooter,Playlogic Game Factory,Metropolis Software,4.4,0.08,0.06,,0.01,0.01,2009-06-30,,10949
/games/boxart/9629022ccc.gif,Gradius Galaxies,GBA,Shooter,Konami,Mobile 21,7.8,0.08,0.06,,0.02,0.0,2001-11-12,,10956
